ip,timestamp,url,status,user_agent
192.168.1.1,2024-02-01 10:35:25,/about,200,Opera/74.0
192.168.1.25,2024-02-01 10:35:09,/products,200,Chrome/90.0
192.168.1.20,2024-02-01 10:43:49,/contact,200,Opera/74.0
192.168.1.3,2024-02-01 10:26:36,/checkout,500,Chrome/90.0
192.168.1.30,2024-02-01 10:58:36,/home,404,Mozilla/5.0
192.168.1.30,2024-02-01 10:19:26,/home,200,Mozilla/5.0
192.168.1.2,2024-02-01 10:22:06,/checkout,500,Opera/74.0
192.168.1.25,2024-02-01 10:37:53,/contact,500,Chrome/90.0
192.168.1.2,2024-02-01 10:51:42,/home,404,Opera/74.0
192.168.1.3,2024-02-01 10:56:03,/about,404,Mozilla/5.0
192.168.1.10,2024-02-01 10:27:19,/products,200,Edge/88.0
192.168.1.20,2024-02-01 10:38:10,/contact,200,Edge/88.0
192.168.1.15,2024-02-01 10:43:16,/about,404,Opera/74.0
192.168.1.10,2024-02-01 10:53:12,/home,500,Edge/88.0
192.168.1.2,2024-02-01 10:16:12,/home,200,Chrome/90.0
192.168.1.1,2024-02-01 10:59:52,/about,404,Chrome/90.0
192.168.1.30,2024-02-01 10:35:22,/home,200,Opera/74.0
192.168.1.30,2024-02-01 10:56:15,/products,500,Safari/13.1
192.168.1.15,2024-02-01 10:21:41,/contact,200,Edge/88.0
192.168.1.3,2024-02-01 10:41:30,/contact,200,Edge/88.0
192.168.1.25,2024-02-01 10:17:19,/contact,200,Mozilla/5.0
192.168.1.25,2024-02-01 10:51:41,/products,500,Chrome/90.0
192.168.1.1,2024-02-01 10:49:45,/checkout,404,Mozilla/5.0
192.168.1.20,2024-02-01 10:31:39,/products,200,Edge/88.0
192.168.1.2,2024-02-01 10:20:51,/products,200,Opera/74.0
192.168.1.25,2024-02-01 10:27:30,/home,404,Opera/74.0
192.168.1.20,2024-02-01 10:34:10,/checkout,404,Opera/74.0
192.168.1.25,2024-02-01 10:23:15,/contact,200,Edge/88.0
192.168.1.2,2024-02-01 10:52:28,/products,500,Edge/88.0
192.168.1.25,2024-02-01 10:31:08,/checkout,200,Opera/74.0
192.168.1.20,2024-02-01 10:53:55,/about,200,Chrome/90.0
192.168.1.20,2024-02-01 10:16:59,/about,200,Safari/13.1
192.168.1.2,2024-02-01 10:24:00,/checkout,500,Edge/88.0
192.168.1.25,2024-02-01 10:20:53,/contact,200,Edge/88.0
192.168.1.25,2024-02-01 10:15:34,/products,404,Edge/88.0
192.168.1.3,2024-02-01 10:22:41,/contact,200,Edge/88.0
192.168.1.1,2024-02-01 10:53:05,/products,500,Mozilla/5.0
192.168.1.25,2024-02-01 10:26:03,/home,200,Mozilla/5.0
192.168.1.30,2024-02-01 10:55:11,/products,500,Edge/88.0
192.168.1.1,2024-02-01 10:26:11,/products,200,Edge/88.0
192.168.1.1,2024-02-01 10:26:17,/checkout,500,Opera/74.0
192.168.1.1,2024-02-01 10:51:32,/about,200,Edge/88.0
192.168.1.3,2024-02-01 10:58:36,/home,200,Opera/74.0
192.168.1.15,2024-02-01 10:30:34,/contact,500,Safari/13.1
192.168.1.30,2024-02-01 10:20:23,/checkout,200,Chrome/90.0
192.168.1.20,2024-02-01 10:56:13,/products,404,Safari/13.1
192.168.1.1,2024-02-01 10:40:54,/checkout,200,Mozilla/5.0
192.168.1.3,2024-02-01 10:55:37,/products,200,Chrome/90.0
192.168.1.2,2024-02-01 10:58:31,/contact,404,Chrome/90.0
192.168.1.20,2024-02-01 10:41:58,/contact,500,Chrome/90.0
192.168.1.25,2024-02-01 10:55:16,/checkout,200,Safari/13.1
192.168.1.30,2024-02-01 10:38:20,/home,200,Chrome/90.0
192.168.1.3,2024-02-01 10:15:04,/contact,500,Safari/13.1
192.168.1.1,2024-02-01 10:23:52,/products,500,Safari/13.1
192.168.1.30,2024-02-01 10:20:49,/products,200,Safari/13.1
192.168.1.30,2024-02-01 10:36:41,/home,200,Edge/88.0
192.168.1.15,2024-02-01 10:25:39,/about,500,Chrome/90.0
192.168.1.10,2024-02-01 10:29:37,/contact,200,Opera/74.0
192.168.1.25,2024-02-01 10:38:18,/products,200,Opera/74.0
192.168.1.20,2024-02-01 10:46:50,/products,200,Chrome/90.0
192.168.1.3,2024-02-01 10:17:31,/checkout,500,Opera/74.0
192.168.1.20,2024-02-01 10:30:48,/about,404,Safari/13.1
192.168.1.25,2024-02-01 10:53:13,/contact,200,Opera/74.0
192.168.1.20,2024-02-01 10:57:01,/about,500,Opera/74.0
192.168.1.3,2024-02-01 10:35:14,/checkout,500,Edge/88.0
192.168.1.2,2024-02-01 10:38:05,/checkout,200,Chrome/90.0
192.168.1.2,2024-02-01 10:18:26,/contact,404,Chrome/90.0
192.168.1.10,2024-02-01 10:39:21,/home,500,Mozilla/5.0
192.168.1.3,2024-02-01 10:32:26,/about,200,Safari/13.1
192.168.1.15,2024-02-01 10:43:52,/checkout,404,Safari/13.1
192.168.1.20,2024-02-01 10:31:10,/contact,200,Safari/13.1
192.168.1.20,2024-02-01 10:42:30,/contact,200,Safari/13.1
192.168.1.15,2024-02-01 10:38:12,/home,404,Opera/74.0
192.168.1.10,2024-02-01 10:32:41,/products,200,Safari/13.1
192.168.1.30,2024-02-01 10:47:18,/about,200,Mozilla/5.0
192.168.1.10,2024-02-01 10:15:21,/contact,500,Chrome/90.0
192.168.1.2,2024-02-01 10:15:05,/about,200,Edge/88.0
192.168.1.20,2024-02-01 10:27:14,/home,200,Edge/88.0
192.168.1.10,2024-02-01 10:30:47,/checkout,200,Chrome/90.0
192.168.1.20,2024-02-01 10:15:10,/home,200,Edge/88.0
192.168.1.1,2024-02-01 10:59:33,/products,200,Chrome/90.0
192.168.1.30,2024-02-01 10:35:22,/contact,200,Mozilla/5.0
192.168.1.10,2024-02-01 10:15:16,/about,200,Safari/13.1
192.168.1.3,2024-02-01 10:51:38,/products,200,Mozilla/5.0
192.168.1.15,2024-02-01 10:38:47,/home,404,Safari/13.1
192.168.1.20,2024-02-01 10:38:56,/products,404,Edge/88.0
192.168.1.2,2024-02-01 10:17:05,/contact,200,Edge/88.0
192.168.1.25,2024-02-01 10:26:11,/contact,200,Mozilla/5.0
192.168.1.3,2024-02-01 10:59:34,/products,500,Chrome/90.0
192.168.1.15,2024-02-01 10:34:44,/products,200,Mozilla/5.0
192.168.1.2,2024-02-01 10:26:38,/home,200,Edge/88.0
192.168.1.3,2024-02-01 10:50:02,/home,404,Opera/74.0
192.168.1.25,2024-02-01 10:40:50,/contact,200,Mozilla/5.0
192.168.1.3,2024-02-01 10:39:50,/products,404,Chrome/90.0
192.168.1.3,2024-02-01 10:53:04,/home,404,Chrome/90.0
192.168.1.30,2024-02-01 10:40:37,/checkout,200,Opera/74.0
192.168.1.15,2024-02-01 10:15:08,/about,404,Safari/13.1
192.168.1.10,2024-02-01 10:32:01,/checkout,200,Opera/74.0
192.168.1.1,2024-02-01 10:30:01,/home,200,Mozilla/5.0
192.168.1.15,2024-02-01 10:18:36,/contact,200,Chrome/90.0
